date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh),,
11-11-2021,15,14:00 - 14:15,6028.9,11294.4,5308.9,5308.9,2409.95,2409.95,,
11-11-2021,15,14:15 - 14:30,6439.5,11160.6,5621.2,5621.2,2600.78,2600.78,,
11-11-2021,15,14:30 - 14:45,6677,10932.8,5844.2,5844.2,2779.29,2779.29,,
11-11-2021,15,14:45 - 15:00,6936.2,10641.6,5952,5952,2800.25,2800.25,,
11-11-2021,16,15:00 - 15:15,7546.5,10284.7,6075.59,6075.59,3100.75,3100.75,,
11-11-2021,16,15:15 - 15:30,8019.1,10208.6,6317.1,6317.1,3250.89,3250.89,,
11-11-2021,16,15:30 - 15:45,8156.9,10559.8,6552.1,6552.1,3250.68,3250.68,,
11-11-2021,16,15:45 - 16:00,8342,10673.3,6813.3,6813.3,3250.86,3250.86,,
11-11-2021,17,16:00 - 16:15,7901.7,10441.4,6578.2,6578.2,3000.64,3000.64,,
11-11-2021,17,16:15 - 16:30,8225,10138.5,6660,6660,3199.42,3199.42,,
11-11-2021,17,16:30 - 16:45,9120,9873.6,6863,6863,3700.32,3700.32,,
11-11-2021,17,16:45 - 17:00,9690.7,9632.4,7019.8,7019.8,4209.12,4209.12,,
11-11-2021,18,17:00 - 17:15,9005.7,9269.5,6492.3,6492.3,3900.2,3900.2,,
11-11-2021,18,17:15 - 17:30,9248.7,9275.6,6753.8,6753.8,3989.83,3989.83,,
11-11-2021,18,17:30 - 17:45,9485,9448.6,6948.7,6948.7,3987.44,3987.44,,
11-11-2021,18,17:45 - 18:00,10107.3,9402.2,7349.3,7349.3,4989.14,4989.14,,
11-11-2021,19,18:00 - 18:15,9464.1,8688,6712.35,6712.35,5000.33,5000.33,,
11-11-2021,19,18:15 - 18:30,10005,8335.2,6736.2,6736.2,9000.35,9000.35,,
11-11-2021,19,18:30 - 18:45,10033.9,8082.3,6449.3,6449.3,10000.21,10000.21,,
11-11-2021,19,18:45 - 19:00,9558.5,8346.2,6394.5,6394.5,5000.51,5000.51,,
11-11-2021,20,19:00 - 19:15,8234.3,8636.7,6422.29,6422.29,4000.38,4000.38,,
11-11-2021,20,19:15 - 19:30,7711.4,8808.9,6248.08,6248.08,3989.47,3989.47,,
11-11-2021,20,19:30 - 19:45,7036.7,8732.7,5799.3,5799.3,3855.22,3855.22,,
11-11-2021,20,19:45 - 20:00,6527.5,9021,5704.3,5704.3,3199.63,3199.63,,
11-11-2021,21,20:00 - 20:15,6773.5,9645.8,5868.21,5868.21,3381.4,3381.4,,
11-11-2021,21,20:15 - 20:30,6520,9903,5785.06,5785.06,3200.01,3200.01,,
11-11-2021,21,20:30 - 20:45,6528.2,10165.3,5793.4,5793.4,3199.52,3199.52,,
11-11-2021,21,20:45 - 21:00,6317.2,10244.2,5587.2,5587.2,3109.48,3109.48,,
11-11-2021,22,21:00 - 21:15,6237.7,10331.6,5524.61,5524.61,3064.97,3064.97,,
11-11-2021,22,21:15 - 21:30,6252.5,10603,5543.1,5543.1,3029.37,3029.37,,
11-11-2021,22,21:30 - 21:45,6125.3,10605.7,5415.9,5415.9,3029.01,3029.01,,
