Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
19-02-2021,2,01:00 - 01:15,5952.5,19296.7,4878.5,4878.5,2259.13,2259.13
19-02-2021,2,01:15 - 01:30,5921.7,20014.7,4852.7,4852.7,2247.18,2247.18
19-02-2021,2,01:30 - 01:45,5787.4,20708.8,4790.3,4790.3,2188.46,2188.46
19-02-2021,2,01:45 - 02:00,5730.3,21088.8,4733.1,4733.1,2188.14,2188.14
19-02-2021,3,02:00 - 02:15,5709.8,21233,4774.7,4774.7,2078.84,2078.84
19-02-2021,3,02:15 - 02:30,5682.7,21158,4747.6,4747.6,2078.21,2078.21
19-02-2021,3,02:30 - 02:45,5635.4,21220.7,4816.3,4816.3,1999.97,1999.97
19-02-2021,3,02:45 - 03:00,5600,21237.7,4780.9,4780.9,1999.78,1999.78
19-02-2021,4,03:00 - 03:15,5575.1,21129.2,4770.8,4770.8,1999.83,1999.83
19-02-2021,4,03:15 - 03:30,5555.1,21183.2,4750.8,4750.8,1999.73,1999.73
19-02-2021,4,03:30 - 03:45,5546.5,21293.2,4742.3,4742.3,1999.15,1999.15
19-02-2021,4,03:45 - 04:00,5496.7,21373.2,4699.4,4699.4,1966.16,1966.16
19-02-2021,5,04:00 - 04:15,5781.5,21076.1,4957.5,4957.5,1999.19,1999.19
19-02-2021,5,04:15 - 04:30,5909.1,20565.1,4871.9,4871.9,2188.36,2188.36
19-02-2021,5,04:30 - 04:45,6022.1,20222.5,4917.2,4917.2,2230.83,2230.83
19-02-2021,5,04:45 - 05:00,6155.1,19448.4,4942.8,4942.8,2485.79,2485.79
19-02-2021,6,05:00 - 05:15,6578.9,17944.4,5376.9,5376.9,2510.63,2510.63
19-02-2021,6,05:15 - 05:30,7075.7,16427.7,5786.1,5786.1,2609.92,2609.92
19-02-2021,6,05:30 - 05:45,7436.2,15153.1,6195.5,6195.5,2639.11,2639.11
19-02-2021,6,05:45 - 06:00,7663.6,14249.2,6414.7,6414.7,2666.5,2666.5
19-02-2021,7,06:00 - 06:15,8057.4,13220.2,7294.5,7294.5,2819.99,2819.99
19-02-2021,7,06:15 - 06:30,9957.2,12510.3,9097.7,9097.7,3199.1,3199.1
19-02-2021,7,06:30 - 06:45,10808.8,12280.5,9854,9854,3489.8,3489.8
19-02-2021,7,06:45 - 07:00,11218.8,12078.3,10193.1,10193.1,3529.46,3529.46
19-02-2021,8,07:00 - 07:15,11124,11506.5,10059.1,10059.1,3579.45,3579.45
19-02-2021,8,07:15 - 07:30,11846.3,11279.4,10286.6,10286.6,3900.19,3900.19
19-02-2021,8,07:30 - 07:45,12166.7,12181.8,10985.2,10985.2,3652.54,3652.54
19-02-2021,8,07:45 - 08:00,12267.5,11756.5,10783.8,10783.8,4029.2,4029.2
19-02-2021,9,08:00 - 08:15,11611.7,11234.5,10228.4,10228.4,3821.48,3821.48
19-02-2021,9,08:15 - 08:30,11559.2,10938.5,9965.9,9965.9,4029.12,4029.12
19-02-2021,9,08:30 - 08:45,11411,10196.7,9591.1,9591.1,4487.87,4487.87
19-02-2021,9,08:45 - 09:00,10896.6,9390.1,8959.6,8959.6,4703.35,4703.35
19-02-2021,10,09:00 - 09:15,10874.2,8996.3,8572.1,8572.1,4789.23,4789.23
19-02-2021,10,09:15 - 09:30,11341.8,9048.1,8853.9,8853.9,5009.26,5009.26
19-02-2021,10,09:30 - 09:45,11479.9,8838.4,8414.2,8414.2,4900.64,4900.64
19-02-2021,10,09:45 - 10:00,11135,8601.3,8056.1,8056.1,4500.89,4500.89
19-02-2021,11,10:00 - 10:15,10846.2,8799.7,7667.6,7667.6,4404.4,4404.4
19-02-2021,11,10:15 - 10:30,10844,8907.4,7775.3,7775.3,4274.8,4274.8
19-02-2021,11,10:30 - 10:45,10202.8,8656.8,7514.7,7514.7,4034.4,4034.4
19-02-2021,11,10:45 - 11:00,9767.4,8739,7496.9,7496.9,3900.47,3900.47
